---------------------------- PROCESS STARTED (31142) for package com.example.bottleneckreader ----------------------------
2026-06-12 12:14:52.261 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  timestampNs,detected,s0,s1,s2,s3,s4,event
2026-06-12 12:14:55.883 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900495444957,1,1.3229,1.2707,1.2776,1.3171,0.3073,
2026-06-12 12:14:55.917 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900528770582,1,1.3233,1.2793,1.3194,0.2218,0.4160,
2026-06-12 12:14:55.950 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900562095999,1,1.3228,1.2695,1.3192,0.2124,0.3953,11100
2026-06-12 12:14:55.992 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900595421624,1,1.3240,1.2617,1.3219,0.1680,0.4418,
2026-06-12 12:14:56.010 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900628747041,1,1.3238,1.2733,1.3184,0.2011,0.4327,
2026-06-12 12:14:56.055 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900662072457,1,1.3213,1.3193,0.2418,0.3163,0.3798,
2026-06-12 12:14:56.082 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900695398082,1,1.3193,1.3203,0.1521,0.3369,0.4281,11000
2026-06-12 12:14:56.124 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900728723499,1,1.3200,1.3216,0.1242,0.3260,0.3945,
2026-06-12 12:14:56.150 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900762049124,1,1.3191,0.2885,0.3621,0.3185,0.4161,
2026-06-12 12:14:56.193 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900795374541,1,1.3229,0.1243,0.4018,0.3548,0.4288,10000
2026-06-12 12:14:56.223 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900828699957,1,1.3231,0.1004,0.3758,0.3223,0.4182,
2026-06-12 12:14:56.247 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900862025582,1,1.3199,0.1394,0.3584,0.2934,0.3640,
2026-06-12 12:14:56.292 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900895350999,1,0.5579,0.2959,0.1790,1.3209,0.2770,
2026-06-12 12:14:56.315 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900928676624,1,0.4096,0.3270,0.1908,1.3190,0.2438,
2026-06-12 12:14:56.357 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900962002041,1,0.3682,0.2928,0.1397,1.3205,0.2652,00010
2026-06-12 12:14:56.382 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111900995327457,1,0.3386,0.2721,0.1790,1.3196,0.2399,
2026-06-12 12:14:56.416 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901028653082,1,0.3538,0.0909,1.3191,1.3187,0.2392,
2026-06-12 12:14:56.450 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901061978499,1,0.3373,0.0902,1.3187,1.3188,0.2181,00110
2026-06-12 12:14:56.489 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901095304124,1,0.3779,0.0813,1.3201,1.3186,0.2198,
2026-06-12 12:14:56.511 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901128629541,1,0.1752,1.3190,1.2787,1.3175,0.2310,
2026-06-12 12:14:56.557 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901161954957,1,0.1515,1.3211,1.2440,1.3200,0.2443,01110
2026-06-12 12:14:56.583 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901195280582,1,0.1456,1.3203,1.2445,1.3197,0.2037,
2026-06-12 12:14:56.617 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901228605999,1,0.2718,1.3198,1.2493,1.3195,0.1733,
2026-06-12 12:14:56.649 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901261931624,1,1.3209,1.2503,1.3201,0.3170,1.3200,
2026-06-12 12:14:56.686 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901295257041,1,1.3221,1.2463,1.3210,-0.0972,1.3206,11101
2026-06-12 12:14:56.721 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901328582457,1,1.3206,1.2485,1.3191,-0.0923,1.3216,
2026-06-12 12:14:56.747 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901361908082,1,1.3197,1.2803,1.3184,0.0156,1.3207,
2026-06-12 12:14:56.782 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901395233499,1,1.3180,1.3142,1.3347,0.0844,1.3185,
2026-06-12 12:14:56.824 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901428559124,1,1.3195,1.3190,0.2370,0.1128,1.3192,
2026-06-12 12:14:56.847 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901461884541,1,1.3206,1.3198,0.1514,0.1426,1.3193,11001
2026-06-12 12:14:56.891 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901495209957,1,1.3206,1.3200,0.1503,0.1363,1.3196,
2026-06-12 12:14:56.910 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901528535582,1,1.3191,0.4179,0.3823,0.1906,1.3196,
2026-06-12 12:14:56.962 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901561860999,1,1.3220,0.1064,0.4376,0.1584,1.3202,10001
2026-06-12 12:14:56.994 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901595186624,1,1.3224,0.0510,0.4058,0.1196,1.3204,
2026-06-12 12:14:57.011 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901628512041,1,1.3205,-0.0808,1.3242,0.0090,1.3182,
2026-06-12 12:14:57.062 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901661837457,1,0.3532,0.0974,1.3203,0.1137,0.5175,
2026-06-12 12:14:57.105 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901695163082,1,0.3841,0.1228,1.3207,0.1486,0.5048,00101
2026-06-12 12:14:57.131 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901728488499,1,0.3794,0.1186,1.3205,0.1787,0.4603,
2026-06-12 12:14:57.146 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901761814124,1,0.1535,1.3201,1.3193,0.2045,0.4615,
2026-06-12 12:14:57.183 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901795139541,1,0.0900,1.3202,1.3196,0.2172,0.4275,01100
2026-06-12 12:14:57.238 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901828464957,1,0.0892,1.3201,1.3199,0.2335,0.4469,
2026-06-12 12:14:57.262 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901861790582,1,0.0862,1.3200,1.3199,0.2400,0.4404,
2026-06-12 12:14:57.284 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901895115999,1,1.3221,1.3198,0.5012,1.3137,1.3205,
2026-06-12 12:14:57.315 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901928441624,1,1.3221,1.3201,0.0435,1.3186,1.3198,
2026-06-12 12:14:57.349 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901961767041,1,1.3226,1.3200,0.0224,1.3155,1.3201,11011
2026-06-12 12:14:57.407 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111901995092457,1,1.3212,1.3181,0.0571,1.3177,1.3202,
2026-06-12 12:14:57.412 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902028418082,1,1.3204,0.2650,0.0922,1.3205,1.3198,
2026-06-12 12:14:57.449 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902061743499,1,1.3213,0.1911,0.1238,1.3206,1.3202,10011
2026-06-12 12:14:57.488 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902095069124,1,1.3223,0.1871,0.1426,1.3199,1.3202,
2026-06-12 12:14:57.515 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902128394541,1,1.3201,-0.0158,1.3235,1.2808,1.3204,
2026-06-12 12:14:57.553 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902161719957,1,0.4177,0.1114,1.3194,0.0494,1.3203,
2026-06-12 12:14:57.586 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902195045582,1,0.3729,0.1252,1.3198,0.0462,1.3211,00101
2026-06-12 12:14:57.622 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902228370999,1,0.3539,0.1117,1.3203,0.0295,1.3220,
2026-06-12 12:14:57.650 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902261696624,1,0.1468,1.3178,1.3165,1.2996,1.3213,
2026-06-12 12:14:57.681 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902295022041,1,0.1717,1.3188,0.0578,1.3204,1.3211,
2026-06-12 12:14:57.721 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902328347457,1,0.1192,1.3187,0.0609,1.3197,1.3205,01011
2026-06-12 12:14:57.752 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902361673082,1,0.0919,1.3191,0.0601,1.3198,1.3200,
2026-06-12 12:14:57.779 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902394998499,1,1.3188,1.2920,1.3024,1.2629,1.3196,
2026-06-12 12:14:57.820 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902428324124,1,1.3195,0.0075,1.3188,1.2522,1.3196,
2026-06-12 12:14:57.852 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902461649541,1,1.3196,-0.0202,1.3188,1.2504,1.3197,10111
2026-06-12 12:14:57.880 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902494974957,1,1.3187,1.3194,1.2998,1.2594,1.3198,
